model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,fit_seconds,predict_seconds,train_rows,test_rows
logistic_regression,0.7805555555555556,0.7747883995703544,0.653276955602537,0.756734693877551,0.7012102874432677,0.8597822556390978,0.7924029445792494,0.23624240999998847,0.007738532999951531,14400.0,3600.0
support_vector_machine,0.7736111111111111,0.7564812030075188,0.65625,0.7028571428571428,0.6787544343713047,0.8393318152524168,0.7524300410971279,7.05744458800001,1.377645814999994,14400.0,3600.0
decision_tree,0.6972222222222222,0.674079484425349,0.5504107542942495,0.6016326530612245,0.5748829953198128,0.7369051772287862,0.5974179824100128,0.22367315600001803,0.006861092000008284,14400.0,3600.0
k_nearest_neighbors,0.7419444444444444,0.64571858216971,0.7700729927007299,0.34448979591836737,0.476029328821207,0.7810670676691729,0.6726649834948796,0.05451323999994884,0.08463361500002975,14400.0,3600.0
